[Games{iD=1, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Trebeusz', whitePlayerRating=2022, blackPlayerRating=2032, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=2, whitePlayerAccountName='Zofia', blackPlayerAccountName='Rapier', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='A14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=3, whitePlayerAccountName='Matylda', blackPlayerAccountName='Guska', whitePlayerRating=2011, blackPlayerRating=2022, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=4, whitePlayerAccountName='Ewe', blackPlayerAccountName='Wiktor', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=5, whitePlayerAccountName='Deny', blackPlayerAccountName='Damian', whitePlayerRating=2411, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=6, whitePlayerAccountName='Toudi', blackPlayerAccountName='Wojtek', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=7, whitePlayerAccountName='Bielcu', blackPlayerAccountName='Damian', whitePlayerRating=2021, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=8, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=9, whitePlayerAccountName='Hrabia', blackPlayerAccountName='Grazyna', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=10, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Toudi', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=11, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=12, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=13, whitePlayerAccountName='Huncwot', blackPlayerAccountName='FajnyGosc', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=14, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=15, whitePlayerAccountName='Marcel', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=16, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Guska', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=17, whitePlayerAccountName='Ksieciu', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=18, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Krajan', whitePlayerRating=2111, blackPlayerRating=2152, result=DRAW, ECO='C14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=19, whitePlayerAccountName='Guska', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='E34', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=20, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='D21', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=21, whitePlayerAccountName='Gorgona', blackPlayerAccountName='Fiolek', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=22, whitePlayerAccountName='Witold', blackPlayerAccountName='Bonifacy', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=23, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=24, whitePlayerAccountName='Domi', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=25, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=26, whitePlayerAccountName='Trebeusz', blackPlayerAccountName='Iwona', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=27, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=28, whitePlayerAccountName='Deny', blackPlayerAccountName='Ewe', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=29, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Bronislaw', whitePlayerRating=2011, blackPlayerRating=2052, result=BlackWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=30, whitePlayerAccountName='Domi', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=31, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=32, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Ewe', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=33, whitePlayerAccountName='Ewe', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=34, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=35, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=WhiteWon, ECO='E12', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=36, whitePlayerAccountName='Ksieciu', blackPlayerAccountName='Trebeusz', whitePlayerRating=2211, blackPlayerRating=2452, result=WhiteWon, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=37, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=38, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Domi', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=39, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2011, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=40, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2010, blackPlayerRating=2051, result=DRAW, ECO='A90', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=41, whitePlayerAccountName='Gil', blackPlayerAccountName='Damian', whitePlayerRating=2019, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=42, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2018, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=43, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2017, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=44, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2012, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=45, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2013, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
, Games{iD=46, whitePlayerAccountName='Wojtek', blackPlayerAccountName='Damian', whitePlayerRating=2014, blackPlayerRating=2052, result=DRAW, ECO='B14', whenGameWasPlayed=java.text.SimpleDateFormat@e4eb710a}
